typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;43;48;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;57;62;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;72;77;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;87;92;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;101;106;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;115;120;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;130;135;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;145;150;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;43;48;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;57;62;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;72;77;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;87;92;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;101;106;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;115;120;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;130;135;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;145;150;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/NetworkUtils.java;326;338;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/NetworkUtils.java;326;338;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LogUtils.java;397;418;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LogUtils.java;397;418;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/SizeUtils.java;110;117;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/SizeUtils.java;110;117;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/CrashUtils.java;92;111;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/CrashUtils.java;92;111;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/test/java/com/blankj/utilcode/util/FileUtilsTest.java;130;134;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/test/java/com/blankj/utilcode/util/FileUtilsTest.java;130;134;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/service/LocationService.java;39;68;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/service/LocationService.java;73;81;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/service/LocationService.java;39;68;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/service/LocationService.java;73;81;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/SpannableActivity.java;33;44;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/SpannableActivity.java;33;44;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/ToastActivity.java;50;55;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/ToastActivity.java;58;63;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/ToastActivity.java;50;55;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/ToastActivity.java;58;63;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/SnackbarActivity.java;49;54;false;false;false;false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/app/src/main/java/com/blankj/androidutilcode/activity/SnackbarActivity.java;61;66;false;false;false;false;
