typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;35;35;windowManager;WindowManager;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;36;36;dm;DisplayMetrics;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;47;47;windowManager;WindowManager;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;48;48;dm;DisplayMetrics;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;121;121;view;View;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;124;124;bmp;Bitmap;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;125;125;dm;DisplayMetrics;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;127;127;ret;Bitmap;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;139;139;view;View;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;142;142;bmp;Bitmap;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;143;143;statusBarHeight;int;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;144;144;dm;DisplayMetrics;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;146;146;ret;Bitmap;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;157;157;km;KeyguardManager;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;37;37;su;String;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;38;39;locations;String[];false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;76;76;macAddress;String;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;100;100;wifi;WifiManager;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;102;102;info;WifiInfo;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;119;119;nis;List<NetworkInterface>;false;true;List;[NetworkInterface];[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;122;122;macBytes;byte[];false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;124;124;res1;StringBuilder;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;143;143;result;ShellUtils.CommandResult;false;false;null;null;[];
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;145;145;name;String;false;false;null;null;[];
