typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;25;27;ScreenUtils;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;29;39;getScreenWidth;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;41;51;getScreenHeight;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;53;65;setLandscape;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;67;74;setPortrait;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;76;83;isLandscape;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;85;92;isPortrait;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;94;112;getScreenRotation;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;114;130;captureWithStatusBar;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;132;149;captureWithoutStatusBar;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;151;159;isScreenLock;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;161;169;setSleepDuration;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ScreenUtils.java;171;183;getSleepDuration;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;27;29;DeviceUtils;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;31;46;isDeviceRooted;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;48;55;getSDKVersion;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;58;66;getAndroidID;false;false;false;none;[SuppressLint];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;68;89;getMacAddress;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;91;109;getMacAddressByWifiInfo;false;false;false;none;[SuppressLint];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;111;135;getMacAddressByNetworkInterface;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;137;156;getMacAddressByFile;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;158;167;getManufacturer;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;169;183;getModel;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;185;195;shutdown;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;197;209;reboot;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;211;224;reboot;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;226;232;reboot2Recovery;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/DeviceUtils.java;234;240;reboot2Bootloader;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/KeyboardUtils.java;20;22;KeyboardUtils;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/KeyboardUtils.java;30;41;hideSoftInput;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/KeyboardUtils.java;43;53;hideSoftInput;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/KeyboardUtils.java;55;91;clickBlankArea2HideSoftInput;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/KeyboardUtils.java;93;105;showSoftInput;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/KeyboardUtils.java;107;114;toggleSoftInput;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;15;17;PinyinUtils;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;19;27;ccs2Pinyin;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;29;50;ccs2Pinyin;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;52;61;getPinyinFirstLetter;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;63;71;getPinyinFirstLetters;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;73;88;getPinyinFirstLetters;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;90;115;getSurnamePinyin;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/PinyinUtils.java;117;127;getSurnameFirstLetter;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;33;35;LocationUtils;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;37;45;isGpsEnabled;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;47;55;isLocationEnabled;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;57;64;openGpsSettings;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;66;95;register;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;98;109;unregister;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;111;131;getCriteria;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;133;149;getAddress;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;151;161;getCountryName;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;163;173;getLocality;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;175;185;getStreet;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;189;199;onLocationChanged;false;false;false;none;[Override];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;201;224;onStatusChanged;false;false;false;none;[Override];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;226;231;onProviderEnabled;false;false;false;none;[Override];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;233;238;onProviderDisabled;false;false;false;none;[Override];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;243;248;getLastKnownLocation;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;250;255;onLocationChanged;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/LocationUtils.java;257;264;onStatusChanged;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;18;20;ToastUtils;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;26;35;init;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;37;49;showShortToastSafe;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;44;47;run;false;false;false;none;[Override];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;51;63;showShortToastSafe;false;false;false;none;[];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;58;61;run;false;false;false;none;[Override];false;
;;AndroidUtilCode;1;/home/les-02/NovoTGLambda/projects/AndroidUtilCode/utilcode/src/main/java/com/blankj/utilcode/util/ToastUtils.java;65;78;showShortToastSafe;true;false;false;none;[];false;
