typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusTestSubscriberInJar/src/org/greenrobot/eventbus/SubscriberInJar.java;10;13;collectString;false;false;false;none;[Subscribe];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusTestSubscriberInJar/src/org/greenrobot/eventbus/SubscriberInJar.java;15;17;getCollectedStrings;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;48;65;onCreate;false;false;false;none;[Override];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;56;60;onItemSelected;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;62;63;onNothingSelected;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;67;72;checkEventBus;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;74;100;startClick;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;102;122;initTestClasses;false;false;false;none;[SuppressWarnings];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;36;38;getEventCount;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;40;42;setEventCount;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;44;46;getSubscriberCount;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;48;50;setSubscriberCount;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;52;54;getPublisherCount;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;56;58;setPublisherCount;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;60;62;getThreadMode;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;64;66;setThreadMode;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;68;70;isEventInheritance;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;72;74;setEventInheritance;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;76;78;isIgnoreGeneratedIndex;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;80;82;setIgnoreGeneratedIndex;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;84;86;getTestClasses;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;88;90;setTestClasses;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;92;94;getTestNumber;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;96;98;setTestNumber;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestFinishedEvent.java;24;27;TestFinishedEvent;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;42;50;PerfTestEventBus;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;52;63;prepareTest;false;false;false;none;[Override];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;65;78;getSubscriberClassForThreadMode;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;80;84;getDisplayModifier;false;false;false;none;[];false;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;88;90;Post;false;false;false;none;[];false;
