typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;54;62;false;false;1;7;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;159;163;false;false;1;3;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;192;198;false;false;1;5;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;54;62;false;false;1;7;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;159;163;false;false;1;3;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;192;198;false;false;1;5;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestOtto.java;57;65;false;false;1;7;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestOtto.java;135;139;false;false;1;3;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestOtto.java;169;175;false;false;1;5;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestOtto.java;57;65;false;false;1;7;3;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestOtto.java;135;139;false;false;1;3;3;
