typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusTestSubscriberInJar/src/org/greenrobot/eventbus/SubscriberInJar.java;6;18;SubscriberInJar;null;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestSetupActivity.java;35;123;TestSetupActivity;Activity;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestEvent.java;19;22;TestEvent;null;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestParams.java;24;100;TestParams;null;[Serializable];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/TestFinishedEvent.java;19;28;TestFinishedEvent;null;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;34;296;PerfTestEventBus;Test;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;87;124;Post;PerfTestEventBus;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;126;142;RegisterAll;PerfTestEventBus;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;144;186;RegisterOneByOne;PerfTestEventBus;[];0;[];[];
;;EventBus;1;/home/les-02/NovoTGLambda/projects/EventBus/EventBusPerformance/src/org/greenrobot/eventbusperf/testsubject/PerfTestEventBus.java;188;206;RegisterFirstTime;RegisterOneByOne;[];0;[];[];
