typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;36;36;logger;Logger;true;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;44;44;jsonString;StringWriter;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;47;47;json;JsonGenerator;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;63;63;key;HystrixCommandKey;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;64;64;commandConfig;HystrixCommandConfiguration;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;72;72;threadPoolKey;HystrixThreadPoolKey;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;73;73;threadPoolConfig;HystrixThreadPoolConfiguration;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;80;80;collapserKey;HystrixCollapserKey;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;81;81;collapserConfig;HystrixCollapserConfiguration;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;103;103;executionConfig;HystrixCommandConfiguration.HystrixCommandExecutionConfig;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;116;116;metricsConfig;HystrixCommandConfiguration.HystrixCommandMetricsConfig;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;125;125;circuitBreakerConfig;HystrixCommandConfiguration.HystrixCommandCircuitBreakerConfig;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;156;156;metricsConfig;HystrixCollapserConfiguration.CollapserMetricsConfig;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixDashboardData.java;40;40;logger;Logger;true;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixDashboardData.java;48;48;jsonString;StringWriter;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixDashboardData.java;51;51;json;JsonGenerator;false;false;null;null;[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixDashboardData.java;61;61;jsonStrings;List<String>;false;true;List;[String];[];
