typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixConfiguration.java;34;165;SerialHystrixConfiguration;SerialHystrixMetric;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixDashboardData.java;38;441;SerialHystrixDashboardData;SerialHystrixMetric;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixRequestEvents.java;28;101;SerialHystrixRequestEvents;SerialHystrixMetric;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixMetric.java;25;34;SerialHystrixMetric;null;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/main/java/com/netflix/hystrix/serial/SerialHystrixUtilization.java;32;101;SerialHystrixUtilization;SerialHystrixMetric;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/test/java/com/netflix/hystrix/serial/SerialHystrixRequestEventsTest.java;37;456;SerialHystrixRequestEventsTest;null;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-serialization/src/test/java/com/netflix/hystrix/serial/SerialHystrixRequestEventsTest.java;273;455;SimpleExecution;null;[HystrixInvokableInfo<Integer>];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-dashboard/src/main/test/com/netflix/hystrix/dashboard/stream/UrlUtilsTest.java;20;38;UrlUtilsTest;null;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-dashboard/src/main/java/com/netflix/hystrix/dashboard/stream/UrlUtils.java;22;47;UrlUtils;null;[];0;[];[];
;;Hystrix;1;/home/les-02/NovoTGLambda/projects/Hystrix/hystrix-dashboard/src/main/java/com/netflix/hystrix/dashboard/stream/MockStreamServlet.java;33;127;MockStreamServlet;HttpServlet;[];0;[];[];
