typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;7;43;ImageAdapter;RecyclerView.Adapter<ImageViewHolder>;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImageAdapter.java;40;42;Listener;null;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyDrawerLayout.java;7;33;HackyDrawerLayout;DrawerLayout;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/HackyViewPager.java;8;39;HackyViewPager;ViewPager;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;30;120;LauncherActivity;AppCompatActivity;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;53;99;ItemAdapter;RecyclerView.Adapter<ItemViewHolder>;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/LauncherActivity.java;101;119;ItemViewHolder;RecyclerView.ViewHolder;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ImmersiveActivity.java;17;87;ImmersiveActivity;AppCompatActivity;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/PicassoSampleActivity.java;10;23;PicassoSampleActivity;AppCompatActivity;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ActivityTransitionToActivity.java;7;17;ActivityTransitionToActivity;AppCompatActivity;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ActivityTransitionActivity.java;28;56;ActivityTransitionActivity;AppCompatActivity;[];0;[];[];
;;PhotoView;1;/home/les-02/NovoTGLambda/projects/PhotoView/sample/src/main/java/com/github/chrisbanes/photoview/sample/ViewPagerActivity.java;28;71;ViewPagerActivity;AppCompatActivity;[];0;[];[];
