typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;29;29;DEFAULT;Scheduler;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;32;37;MAIN_THREAD;Scheduler;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;25;25;handler;Handler;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;37;37;scheduled;ScheduledRunnable;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;48;48;handler;Handler;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;50;50;disposed;boolean;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;67;67;scheduled;ScheduledRunnable;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;69;69;message;Message;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;96;96;handler;Handler;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;97;97;delegate;Runnable;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;99;99;disposed;boolean;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;111;112;ie;IllegalStateException;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;114;114;thread;Thread;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;27;27;onInitMainThreadHandler;Function<Callable<Scheduler>,Scheduler>;true;true;null;[Callable<Scheduler>, Scheduler];[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;28;28;onMainThreadHandler;Function<Scheduler,Scheduler>;true;true;null;[Scheduler, Scheduler];[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;38;38;f;Function<Callable<Scheduler>,Scheduler>;false;true;Function;[Callable<Scheduler>, Scheduler];[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;53;53;f;Function<Scheduler,Scheduler>;false;true;Function;[Scheduler, Scheduler];[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;86;86;scheduler;Scheduler;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;97;97;scheduler;Scheduler;false;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;62;62;unsubscribed;AtomicBoolean;true;false;null;null;[];
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/AndroidSchedulersTest.java;45;45;called;AtomicInteger;false;false;null;null;[];
