typeProject;before;project;version;file;start;end;import;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;16;16;android.os.Handler;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;17;17;android.os.Looper;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;19;19;java.util.concurrent.Callable;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;21;21;io.reactivex.Scheduler;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;22;22;io.reactivex.android.plugins.RxAndroidPlugins;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;16;16;android.os.Handler;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;17;17;android.os.Message;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;18;18;io.reactivex.Scheduler;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;19;19;io.reactivex.disposables.Disposable;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;20;20;io.reactivex.disposables.Disposables;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;21;21;io.reactivex.plugins.RxJavaPlugins;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;22;22;java.util.concurrent.TimeUnit;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;16;16;java.util.concurrent.Callable;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;18;18;io.reactivex.Scheduler;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;19;19;io.reactivex.exceptions.Exceptions;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;20;20;io.reactivex.functions.Function;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;16;16;android.os.Looper;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;17;17;io.reactivex.android.schedulers.AndroidSchedulers;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;18;18;io.reactivex.disposables.Disposable;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;19;19;java.util.concurrent.atomic.AtomicBoolean;
