typeProject;before;project;version;file;start;end;stmts;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableBufferBoundary.java;98;100;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableBufferTimed.java;280;282;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableBuffer.java;407;409;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableBufferTimed.java;298;300;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableBufferBoundary.java;101;103;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableBufferTest.java;315;317;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableRetryTest.java;715;717;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableWindowWithTimeTest.java;113;115;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableWindowWithStartEndObservableTest.java;148;150;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableWindowWithSizeTest.java;201;203;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableBufferTest.java;316;318;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableWindowWithStartEndFlowableTest.java;147;149;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableRetryTest.java;766;768;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableWindowWithTimeTest.java;112;114;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableWindowWithSizeTest.java;195;197;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/util/ObservableToFlowabeTestSync.java;70;72;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/observable/ObservableCovarianceTest.java;201;203;1;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/flowable/FlowableCovarianceTest.java;203;205;1;
