typeProject;before;project;version;file;start;end;switchString;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableCreate.java;47;68;false;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableOnBackpressureBufferStrategy.java;110;125;false;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableConcatMap.java;49;56;false;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/Observable.java;12424;12435;false;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/observers/TestObserver.java;310;315;false;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/main/java/io/reactivex/subscribers/TestSubscriber.java;360;365;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableCreate.java;47;68;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableOnBackpressureBufferStrategy.java;110;125;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableConcatMap.java;49;56;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/Observable.java;12424;12435;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/observers/TestObserver.java;310;315;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/subscribers/TestSubscriber.java;360;365;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableCreate.java;47;68;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableOnBackpressureBufferStrategy.java;110;125;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableConcatMap.java;49;56;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/Observable.java;12424;12435;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/observers/TestObserver.java;310;315;false;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/main/java/io/reactivex/subscribers/TestSubscriber.java;360;365;false;
