typeProject;before;project;version;file;start;end;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDistinctTest.java;46;48;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableMergeTest.java;241;244;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDistinctUntilChangedTest.java;43;45;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableOnErrorResumeNextViaFunctionTest.java;166;170;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableOnErrorResumeNextViaFunctionTest.java;221;225;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableDistinctUntilChangedTest.java;46;48;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableDistinctTest.java;45;47;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableMergeTest.java;255;258;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableOnErrorResumeNextViaFunctionTest.java;167;171;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableOnErrorResumeNextViaFunctionTest.java;222;226;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/processors/ReplayProcessorTest.java;302;311;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/subjects/ReplaySubjectTest.java;291;300;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;40;42;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;85;87;
;;RxJava;1;/home/les-02/TGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;132;134;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDistinctTest.java;46;48;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableMergeTest.java;241;244;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDistinctUntilChangedTest.java;43;45;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableOnErrorResumeNextViaFunctionTest.java;166;170;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableOnErrorResumeNextViaFunctionTest.java;221;225;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableDistinctUntilChangedTest.java;46;48;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableDistinctTest.java;45;47;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableMergeTest.java;255;258;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableOnErrorResumeNextViaFunctionTest.java;167;171;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableOnErrorResumeNextViaFunctionTest.java;222;226;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/processors/ReplayProcessorTest.java;302;311;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/subjects/ReplaySubjectTest.java;291;300;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;40;42;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;85;87;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;132;134;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDistinctTest.java;46;48;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableMergeTest.java;241;244;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDistinctUntilChangedTest.java;43;45;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableOnErrorResumeNextViaFunctionTest.java;166;170;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableOnErrorResumeNextViaFunctionTest.java;221;225;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableDistinctUntilChangedTest.java;46;48;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableDistinctTest.java;45;47;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableMergeTest.java;255;258;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableOnErrorResumeNextViaFunctionTest.java;167;171;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableOnErrorResumeNextViaFunctionTest.java;222;226;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/processors/ReplayProcessorTest.java;302;311;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/subjects/ReplaySubjectTest.java;291;300;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;40;42;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;85;87;
;;RxJava;1;/home/les-02/NovoTGLambda/projetos/RxJava/src/test/java/io/reactivex/BaseTypeAnnotations.java;132;134;
