typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/withLeakCanary/java/com/loopj/android/http/sample/SampleApplication.java;15;20;onCreate;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/withLeakCanary/java/com/loopj/android/http/sample/SampleApplication.java;22;36;setStrictMode;false;false;false;none;[TargetApi];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;21;30;getDownloadTarget;false;false;false;none;[];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;32;54;getResponseHandler;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;35;43;onFailure;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;45;52;onSuccess;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;56;59;getDefaultHeaders;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;61;64;getDefaultURL;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;66;69;isRequestHeadersAllowed;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;71;74;isRequestBodyAllowed;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;76;79;getSampleTitle;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/ResumeDownloadSample.java;81;84;executeSample;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;32;35;getSampleTitle;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;37;40;isRequestBodyAllowed;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;42;45;isRequestHeadersAllowed;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;47;50;getDefaultURL;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;52;82;getResponseHandler;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;55;58;onStart;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;60;64;getAllowedContentTypes;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;66;70;onSuccess;false;false;false;none;[];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;72;80;onFailure;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/BinarySample.java;84;87;executeSample;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/WaypointsActivity.java;68;72;onCreate;false;false;false;none;[Override];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/WaypointsActivity.java;74;80;getTitlesList;false;false;false;none;[];false;
;;android-async-http;1;/home/les-02/NovoTGLambda/projects/android-async-http/sample/src/main/java/com/loopj/android/http/sample/WaypointsActivity.java;82;86;onListItemClick;false;false;false;none;[Override];false;
