typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingServiceToastImpl.java;10;11;context;Context;true;false;null;null;[Inject];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;12;13;context;Context;true;false;null;null;[Inject];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;17;18;edit;EditText;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;20;21;greetingService;GreetingService;true;false;null;null;[Inject];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;25;25;name;String;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;15;15;MY_STRING_EXTRA;String;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;16;16;MY_DATE_EXTRA;String;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;17;17;MY_INT_EXTRA;String;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;19;20;extraTextView;TextView;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;22;23;myMessage;String;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;25;26;myDate;Date;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;28;29;unboundExtra;String;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;31;35;classCastExceptionExtra;String;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;19;20;bestFoods;String[];true;false;null;null;[StringArrayRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;22;22;adapter;ListAdapter;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;39;40;myEditText;EditText;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;42;43;textView;TextView;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;45;46;helloFormat;String;true;false;null;null;[StringRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;48;49;androidColor;int;true;false;null;null;[ColorRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;51;52;someBoolean;boolean;true;false;null;null;[BooleanRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;54;55;notificationManager;NotificationManager;true;false;null;null;[SystemService];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;57;58;windowManager;WindowManager;true;false;null;null;[SystemService];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;70;70;name;String;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;82;82;message;String;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;99;99;contentIntent;PendingIntent;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;101;106;notification;Notification;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;113;113;intent;Intent;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;15;15;MY_STRING_EXTRA;String;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;16;16;MY_DATE_EXTRA;String;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;17;17;MY_INT_EXTRA;String;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;19;20;extraTextView;TextView;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;22;23;myMessage;String;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;25;26;myDate;Date;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;28;29;unboundExtra;String;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;31;35;classCastExceptionExtra;String;true;false;null;null;[Extra];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;19;20;bestFoods;String[];true;false;null;null;[StringArrayRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;22;22;adapter;ListAdapter;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;39;40;myEditText;EditText;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;42;43;textView;TextView;true;false;null;null;[ViewById];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;45;46;helloFormat;String;true;false;null;null;[StringRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;48;49;androidColor;int;true;false;null;null;[ColorRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;51;52;someBoolean;boolean;true;false;null;null;[BooleanRes];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;54;55;notificationManager;NotificationManager;true;false;null;null;[SystemService];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;57;58;windowManager;WindowManager;true;false;null;null;[SystemService];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;70;70;name;String;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;82;82;message;String;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;99;99;contentIntent;PendingIntent;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;101;106;notification;Notification;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;113;113;intent;Intent;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;48;48;injectHelper;InjectHelper<EComponentHolder>;true;true;null;[EComponentHolder];[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;50;50;ormLiteHelper;OrmLiteHelper;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;51;51;ormLiteValidatorHelper;OrmLiteValidatorHelper;true;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;71;71;param;Element;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;89;89;ormLiteHolder;OrmLiteHolder;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;91;91;modelClass;AbstractJClass;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;92;92;idClass;AbstractJClass;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;93;93;modelClassDotClass;IJExpression;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;95;95;daoClass;AbstractJClass;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;96;96;daoImplClass;AbstractJClass;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;98;98;databaseHelperTypeMirror;TypeMirror;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;99;99;databaseHelperRef;JFieldVar;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;101;101;injectExpr;IJExpression;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;106;106;tryBlock;JTryBlock;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;109;109;catchBlock;JCatchBlock;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;110;110;exception;JVar;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;112;112;fieldName;String;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;126;126;elementType;TypeMirror;false;false;null;null;[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/holder/OrmLiteHolder.java;40;40;databaseHelperRefs;Map<TypeMirror,JFieldVar>;true;true;null;[TypeMirror, JFieldVar];[];
