typeProject;before;project;version;file;start;end;import;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/SimpleActivity.java;3;3;org.androidannotations.annotations.EActivity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/SimpleActivity.java;4;4;org.androidannotations.roboguice.annotations.RoboGuice;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/SimpleActivity.java;6;6;android.app.Activity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/RoboGuiceExampleApplication.java;3;3;android.app.Application;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/RoboGuiceExampleApplication.java;5;5;roboguice.RoboGuice;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingServiceToastImpl.java;3;3;android.content.Context;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingServiceToastImpl.java;4;4;android.widget.Toast;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingServiceToastImpl.java;6;6;com.google.inject.Inject;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;3;3;roboguice.activity.event.OnResumeEvent;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;4;4;roboguice.event.Observes;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;5;5;android.content.Context;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;6;6;android.widget.Toast;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;8;8;com.google.inject.Inject;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;3;3;org.androidannotations.annotations.Click;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;4;4;org.androidannotations.annotations.EActivity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;6;6;org.androidannotations.annotations.ViewById;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;7;7;org.androidannotations.roboguice.annotations.RoboGuice;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;9;9;android.app.Activity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;10;10;android.widget.EditText;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;11;11;com.google.inject.Inject;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroModule.java;3;3;com.google.inject.AbstractModule;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;3;3;java.util.Date;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;4;4;org.androidannotations.annotations.AfterViews;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;5;5;org.androidannotations.annotations.EActivity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;6;6;org.androidannotations.annotations.Extra;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;7;7;org.androidannotations.annotations.ViewById;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;8;8;org.androidannotations.sample.R;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;9;9;android.app.Activity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;10;10;android.widget.TextView;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;3;3;org.androidannotations.annotations.EActivity;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;4;4;org.androidannotations.annotations.ItemClick;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;5;5;org.androidannotations.annotations.ItemLongClick;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;6;6;org.androidannotations.annotations.ItemSelect;
