typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/RoboGuiceExampleApplication.java;9;14;onCreate;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingServiceToastImpl.java;13;16;greet;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingService.java;4;4;greet;false;false;false;none;[];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;15;17;doSomethingOnResume;false;false;false;none;[];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;23;27;button;false;false;false;none;[Click];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroModule.java;6;9;configure;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;37;40;init;false;false;false;none;[AfterViews];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;24;29;onCreate;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;31;34;listItemClicked;false;false;false;none;[ItemClick];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;36;39;listItemLongClicked;false;false;false;none;[ItemLongClick];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;41;48;listItemSelected;false;false;false;none;[ItemSelect];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;60;66;onCreate;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;68;73;myButtonClicked;false;false;false;none;[Click];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;75;87;someBackgroundWork;false;false;false;none;[Background];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;89;94;updateUi;false;false;false;none;[UiThread];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;96;109;showNotificationsDelayed;false;false;false;none;[UiThread, TargetApi];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;111;116;startExtraActivity;false;false;false;none;[LongClick];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;118;121;startListActivity;false;false;false;none;[Click];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;123;126;myTextView;false;false;false;none;[Touch];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;128;131;transactionalMethod;false;false;false;none;[Transactional];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;37;40;init;false;false;false;none;[AfterViews];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;24;29;onCreate;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;31;34;listItemClicked;false;false;false;none;[ItemClick];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;36;39;listItemLongClicked;false;false;false;none;[ItemLongClick];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;41;48;listItemSelected;false;false;false;none;[ItemSelect];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;60;66;onCreate;false;false;false;none;[Override];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;68;73;myButtonClicked;false;false;false;none;[Click];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;75;87;someBackgroundWork;false;false;false;none;[Background];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;89;94;updateUi;false;false;false;none;[UiThread];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;96;109;showNotificationsDelayed;false;false;false;none;[TargetApi, UiThread];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;111;116;startExtraActivity;false;false;false;none;[LongClick];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;118;121;startListActivity;false;false;false;none;[Click];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;123;126;myTextView;false;false;false;none;[Touch];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;128;131;transactionalMethod;false;false;false;none;[Transactional];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;53;58;OrmLiteDaoHandler;false;false;false;none;[];false;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/AndroidAnnotations/androidannotations-ormlite/ormlite/src/main/java/org/androidannotations/ormlite/handler/OrmLiteDaoHandler.java;60;75;validate;false;false;false;none;[Override];false;
