typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/SimpleActivity.java;8;11;SimpleActivity;Activity;[];0;[];[EActivity, RoboGuice];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/RoboGuiceExampleApplication.java;7;15;RoboGuiceExampleApplication;Application;[];0;[];[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingServiceToastImpl.java;8;18;GreetingServiceToastImpl;null;[GreetingService];0;[];[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/GreetingService.java;3;5;GreetingService;null;[];0;[];[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/MyListener.java;10;19;MyListener;null;[];0;[];[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroGirl.java;13;28;AstroGirl;Activity;[];0;[];[EActivity, RoboGuice];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/RoboGuiceExample/src/main/java/org/androidannotations/roboguiceexample/AstroModule.java;5;10;AstroModule;AbstractModule;[];0;[];[];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;12;42;ActivityWithExtra;Activity;[];0;[];[EActivity];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyListActivity.java;16;50;MyListActivity;ListActivity;[];0;[];[EActivity];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/maven/src/main/java/org/androidannotations/sample/MyActivity.java;36;133;MyActivity;Activity;[];0;[];[EActivity];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/ActivityWithExtra.java;12;42;ActivityWithExtra;Activity;[];0;[];[EActivity];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyListActivity.java;16;50;MyListActivity;ListActivity;[];0;[];[EActivity];
;;androidannotations;1;/home/les-02/NovoTGLambda/projects/androidannotations/examples/gradle/src/main/java/org/androidannotations/sample/MyActivity.java;36;133;MyActivity;Activity;[];0;[];[EActivity];
