typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;33;37;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;38;42;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;43;47;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;33;37;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;38;42;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;43;47;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/DebouncingOnClickListener.java;12;16;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/DebouncingOnClickListener.java;12;16;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/Unbinder.java;9;11;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/Unbinder.java;9;11;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java;26;34;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java;26;34;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java;46;50;false;false;false;false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java;46;50;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;33;37;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;38;42;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;43;47;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;33;37;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;38;42;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;43;47;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/DebouncingOnClickListener.java;12;16;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/DebouncingOnClickListener.java;12;16;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/Unbinder.java;9;11;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/Unbinder.java;9;11;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java;26;34;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java;26;34;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java;46;50;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java;46;50;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;33;37;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;38;42;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;43;47;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;23;31;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;33;37;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;38;42;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/androidTest/java/butterknife/ButterKnifeTest.java;43;47;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/DebouncingOnClickListener.java;12;16;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/internal/DebouncingOnClickListener.java;12;16;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/Unbinder.java;9;11;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife/src/main/java/butterknife/Unbinder.java;9;11;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java;26;34;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java;26;34;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java;46;50;false;false;false;false;
;;butterknife;1;/home/les-02/NovoTGLambda/projetos/butterknife/butterknife-lint/src/main/java/butterknife/lint/InvalidR2UsageDetector.java;46;50;false;false;false;false;
