typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleAdapter.java;17;19;SimpleAdapter;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleAdapter.java;21;23;getCount;false;false;false;none;[Override];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleAdapter.java;25;27;getItem;false;false;false;none;[Override];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleAdapter.java;29;31;getItemId;false;false;false;none;[Override];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleAdapter.java;33;50;getView;false;false;false;none;[Override];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleAdapter.java;57;59;ViewHolder;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;24;30;apply;false;false;false;none;[Override];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;43;46;sayHello;false;false;false;none;[OnClick];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;48;51;sayGetOffMe;false;false;false;none;[OnLongClick];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;53;55;onItemClick;false;false;false;none;[OnItemClick];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/library/src/main/java/com/example/butterknife/library/SimpleActivity.java;57;70;onCreate;false;false;false;none;[Override];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/G.java;16;19;G;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/G.java;21;23;onClick;false;false;false;none;[OnClick];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/H.java;15;18;H;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/E.java;13;16;E;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/C.java;15;18;C;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/F.java;13;16;F;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/B.java;13;16;B;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/A.java;13;15;A;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/unbinder/D.java;13;16;D;false;false;false;none;[];false;
;;butterknife;1;/home/les-02/TGLambda/projetos/butterknife/sample/app/src/main/java/com/example/butterknife/SimpleApp.java;7;10;onCreate;false;false;false;none;[Override];false;
