typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/joda/time/format/StrictISODateTimeFormat.java;206;210;false;false;1;3;2;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/joda/time/format/StrictISODateTimeFormat.java;206;210;false;false;1;3;2;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/XFilteredDocIdSetIterator.java;68;76;false;false;1;7;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/XFilteredDocIdSetIterator.java;83;98;false;false;1;14;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/XFilteredDocIdSetIterator.java;68;76;false;false;1;7;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/XFilteredDocIdSetIterator.java;83;98;false;false;1;14;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;500;504;false;false;1;3;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;529;701;false;false;0;113;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;707;717;false;false;0;8;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;729;736;false;false;0;5;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;805;948;false;false;1;64;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;982;984;true;false;0;3;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;1011;1013;true;false;0;3;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;1028;1030;true;false;0;3;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;500;504;false;false;1;3;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;529;701;false;false;0;113;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;707;717;false;false;0;8;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;729;736;false;false;0;5;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;805;948;false;false;1;64;3;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;982;984;true;false;0;3;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;1011;1013;true;false;0;3;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java;1028;1030;true;false;0;3;0;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java;203;246;false;false;0;41;0;
