typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/joda/time/format/StrictISODateTimeFormat.java;37;2026;StrictISODateTimeFormat;null;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/joda/time/format/StrictISODateTimeFormat.java;1256;2024;Constants;null;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/queries/MinDocQuery.java;34;113;MinDocQuery;Query;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/queries/ExtendedCommonTermsQuery.java;29;95;ExtendedCommonTermsQuery;CommonTermsQuery;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/queries/BlendedTermQuery.java;43;384;BlendedTermQuery;Query;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/analysis/PrefixAnalyzer.java;29;129;PrefixAnalyzer;Analyzer;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/analysis/PrefixAnalyzer.java;73;128;PrefixTokenFilter;TokenFilter;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/analysis/miscellaneous/UniqueTokenFilter.java;30;86;UniqueTokenFilter;TokenFilter;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapsingDocValuesSource.java;35;211;CollapsingDocValuesSource;null;[];1;[[T]];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapsingDocValuesSource.java;51;115;Numeric;CollapsingDocValuesSource<Long>;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapsingDocValuesSource.java;117;202;Keyword;CollapsingDocValuesSource<BytesRef>;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapseTopFieldDocs.java;35;215;CollapseTopFieldDocs;TopFieldDocs;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapseTopFieldDocs.java;52;67;ShardRef;null;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapseTopFieldDocs.java;69;131;MergeSortQueue;PriorityQueue<ShardRef>;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapsingTopDocsCollector.java;35;213;CollapsingTopDocsCollector;FirstPassGroupingCollector<T>;[];1;[[T]];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapsingTopDocsCollector.java;124;147;Numeric;CollapsingTopDocsCollector<Long>;[];0;[];[];
;;elasticsearch;1;/home/les-02/NovoTGLambda/projetos/elasticsearch/core/src/main/java/org/apache/lucene/search/grouping/CollapsingTopDocsCollector.java;149;173;Keyword;CollapsingTopDocsCollector<BytesRef>;[];0;[];[];
