typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;78;83;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;78;83;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;58;64;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;58;64;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;222;227;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;259;264;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;222;227;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;259;264;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TestScheduledFuture.java;51;61;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TestScheduledFuture.java;51;61;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/ScheduledQueue.java;29;34;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/ScheduledQueue.java;29;34;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-backends/drawee-volley/src/main/java/com/facebook/drawee/backends/volley/VolleyDataSource.java;47;58;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-backends/drawee-volley/src/main/java/com/facebook/drawee/backends/volley/VolleyDataSource.java;47;58;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-backends/drawee-pipeline/src/main/java/com/facebook/drawee/backends/pipeline/PipelineDraweeController.java;70;95;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-backends/drawee-pipeline/src/main/java/com/facebook/drawee/backends/pipeline/PipelineDraweeController.java;70;95;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/drawable/AnimatedDrawable2.java;92;101;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/drawable/AnimatedDrawable2.java;92;101;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/drawable/animator/AnimatedDrawable2ValueAnimatorHelper.java;54;60;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/drawable/animator/AnimatedDrawable2ValueAnimatorHelper.java;54;60;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/wrapper/AnimatedDrawableBackendFrameRenderer.java;33;44;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/wrapper/AnimatedDrawableBackendFrameRenderer.java;33;44;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/backend/AnimationBackendDelegateWithInactivityCheck.java;84;98;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/backend/AnimationBackendDelegateWithInactivityCheck.java;84;98;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeControllerBuilder.java;46;53;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeControllerBuilder.java;383;394;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeControllerBuilder.java;46;53;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeControllerBuilder.java;383;394;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeController.java;460;484;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeController.java;460;484;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/drawable/ArrayDrawable.java;307;317;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/drawable/ArrayDrawable.java;307;317;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/components/DeferredReleaser.java;62;71;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/components/DeferredReleaser.java;62;71;false;false;false;false;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/view/DraweeTransition.java;86;92;false;false;false;false;
