typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;57;57;animator;ValueAnimator;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;58;58;repeatCount;int;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;65;65;loopCount;int;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;66;66;animator;ValueAnimator;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;41;41;mAnimatedDrawableBackendProvider;AnimatedDrawableBackendProvider;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;42;42;mAnimatedDrawableCachingBackendProvider;AnimatedDrawableCachingBackendImplProvider;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;43;43;mAnimatedDrawableUtil;AnimatedDrawableUtil;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;44;44;mScheduledExecutorServiceForUiThread;ScheduledExecutorService;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;45;45;mMonotonicClock;MonotonicClock;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;46;46;mResources;Resources;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;78;78;result;AnimatedImageResult;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;95;95;animatedImage;AnimatedImage;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;96;96;initialBounds;Rect;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;97;98;animatedDrawableBackend;AnimatedDrawableBackend;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;112;112;displayMetrics;DisplayMetrics;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;113;113;animatedDrawableDiagnostics;AnimatedDrawableDiagnostics;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;114;117;animatedDrawableCachingBackend;AnimatedDrawableCachingBackend;false;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;47;47;WIDTH;int;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;48;48;HEIGHT;int;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;49;49;FRAME_DURATIONS;int[];true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;50;50;FRAME_DURATIONS_LONG;int[];true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;52;52;mFakeClock;FakeClock;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;53;53;mTestScheduledExecutorService;TestScheduledExecutorService;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;54;54;mBackend;TestAnimatedDrawableSupportBackend;true;false;null;null;[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;55;55;mCachingBackend;TestAnimatedDrawableCachingBackend;true;false;null;null;[];
