typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TestScheduledFuture.java;54;58;false;false;1;3;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TestScheduledFuture.java;54;58;false;false;1;3;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/ScheduledQueue.java;47;58;false;false;0;9;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/ScheduledQueue.java;47;58;false;false;0;9;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/cache/KeepLastFrameCache.java;57;61;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/cache/KeepLastFrameCache.java;57;61;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/cache/FrescoFrameCache.java;88;101;false;false;0;6;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/cache/FrescoFrameCache.java;112;120;false;false;0;6;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/cache/FrescoFrameCache.java;88;101;false;false;0;6;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/cache/FrescoFrameCache.java;112;120;false;false;0;6;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/BitmapAnimationBackend.java;289;302;false;false;0;8;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-drawable/src/main/java/com/facebook/fresco/animation/bitmap/BitmapAnimationBackend.java;289;302;false;false;0;8;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;74;80;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;91;97;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;105;111;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;119;125;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;133;139;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;147;153;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;74;80;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;91;97;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;105;111;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;119;125;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;133;139;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/ForwardingControllerListener.java;147;153;false;false;1;4;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeController.java;506;513;false;false;1;3;6;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeController.java;518;540;false;false;0;12;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeController.java;506;513;false;false;1;3;6;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/controller/AbstractDraweeController.java;518;540;false;false;0;12;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/generic/GenericDraweeHierarchyInflater.java;108;194;false;false;0;81;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/generic/GenericDraweeHierarchyInflater.java;108;194;false;false;0;81;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/view/SimpleDraweeView.java;92;107;false;false;0;11;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/main/java/com/facebook/drawee/view/SimpleDraweeView.java;92;107;false;false;0;11;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/test/java/com/facebook/drawee/controller/AbstractDraweeControllerTest.java;215;221;false;false;1;5;2;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/test/java/com/facebook/drawee/controller/AbstractDraweeControllerTest.java;402;410;false;false;1;6;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/test/java/com/facebook/drawee/controller/AbstractDraweeControllerTest.java;215;221;false;false;1;5;2;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/test/java/com/facebook/drawee/controller/AbstractDraweeControllerTest.java;402;410;false;false;1;6;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/test/java/com/facebook/drawee/drawable/OrientedDrawableTest.java;54;59;false;false;1;4;2;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee/src/test/java/com/facebook/drawee/drawable/OrientedDrawableTest.java;54;59;false;false;1;4;2;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseBooleanSubscriber.java;32;36;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseBooleanSubscriber.java;41;45;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseBooleanSubscriber.java;32;36;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseBooleanSubscriber.java;41;45;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/AbstractDataSource.java;269;290;false;false;0;18;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/AbstractDataSource.java;269;290;false;false;0;18;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseDataSubscriber.java;47;53;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseDataSubscriber.java;58;62;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseDataSubscriber.java;47;53;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/datasource/BaseDataSubscriber.java;58;62;false;false;0;3;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/Files.java;66;73;false;false;0;4;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/Files.java;66;73;false;false;0;4;0;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/Closeables.java;74;83;false;false;1;3;7;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/Closeables.java;101;105;false;false;1;3;3;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/Closeables.java;122;126;false;false;1;3;3;
