typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatableDrawableSupport.java;16;44;AnimatableDrawableSupport;null;[Animatable];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupport.java;34;86;AnimatedDrawableSupport;AbstractAnimatedDrawable;[AnimatableDrawableSupport];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedDrawableFactoryImplSupport.java;36;131;AnimatedDrawableFactoryImplSupport;null;[AnimatedDrawableFactory];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/main/java/com/facebook/imagepipeline/animated/factory/AnimatedFactoryImplSupport.java;25;52;AnimatedFactoryImplSupport;AnimatedFactoryImpl;[];0;[];[NotThreadSafe, DoNotStrip];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;40;310;AnimatedDrawableSupportTest;null;[];0;[];[RunWith, Config];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;198;207;ScheduledRunnable;null;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;209;248;TestAnimatedDrawableCachingBackend;DelegatingAnimatedDrawableBackend;[AnimatedDrawableCachingBackend];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/base/AnimatedDrawableSupportTest.java;250;309;MyCallback;null;[Drawable.Callback];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/animated-base-support/src/test/java/com/facebook/imagepipeline/animated/testing/TestAnimatedDrawableSupportBackend.java;21;169;TestAnimatedDrawableSupportBackend;null;[AnimatedDrawableBackend];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/SimpleDraweeSpanTextView.java;18;117;SimpleDraweeSpanTextView;TextView;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpanStringBuilder.java;34;341;DraweeSpanStringBuilder;SpannableStringBuilder;[AttachDetachListener];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpanStringBuilder.java;51;54;DraweeSpanChangedListener;null;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpanStringBuilder.java;240;270;DrawableCallback;null;[Drawable.Callback];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpanStringBuilder.java;272;340;DrawableChangedListener;BaseControllerListener<ImageInfo>;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpan.java;19;98;DraweeSpan;BetterImageSpan;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/test/java/com/facebook/drawee/span/DraweeSpanStringBuilderTest.java;31;113;DraweeSpanStringBuilderTest;null;[];0;[];[RunWith];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/drawee-span/src/test/java/com/facebook/drawee/span/DraweeSpanTest.java;30;65;DraweeSpanTest;null;[];0;[];[RunWith];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/FakeClock.java;17;101;FakeClock;null;[MonotonicClock];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/FakeClock.java;23;25;OnTickListener;null;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/DeltaQueue.java;12;204;DeltaQueue;null;[];1;[[T]];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/DeltaQueue.java;19;33;Node;null;[];1;[[T]];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TestScheduledFuture.java;20;116;TestScheduledFuture;null;[ScheduledFuture<V>];1;[[V]];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TrivialPooledByteBuffer.java;14;59;TrivialPooledByteBuffer;null;[PooledByteBuffer];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/ScheduledQueue.java;14;136;ScheduledQueue;null;[];0;[];[];
;;fresco;1;/home/les-02/NovoTGLambda/projects/fresco/imagepipeline-base-test/src/main/java/com/facebook/imagepipeline/testing/TestScheduledExecutorService.java;17;59;TestScheduledExecutorService;TestExecutorService;[ScheduledExecutorService];0;[];[];
