typeProject;before;project;version;file;start;end;import;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/LZWEncoder.java;3;3;java.io.IOException;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/LZWEncoder.java;4;4;java.io.OutputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;4;4;android.graphics.Bitmap;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;5;5;android.graphics.Canvas;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;6;6;android.graphics.Color;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;7;7;android.util.Log;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;8;8;java.io.BufferedOutputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;9;9;java.io.FileOutputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;10;10;java.io.IOException;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;11;11;java.io.OutputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;26;26;com.bumptech.glide.gifdecoder.GifFrame.DISPOSAL_BACKGROUND;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;27;27;com.bumptech.glide.gifdecoder.GifFrame.DISPOSAL_NONE;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;28;28;com.bumptech.glide.gifdecoder.GifFrame.DISPOSAL_PREVIOUS;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;29;29;com.bumptech.glide.gifdecoder.GifFrame.DISPOSAL_UNSPECIFIED;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;31;31;android.graphics.Bitmap;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;32;32;android.support.annotation.ColorInt;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;33;33;android.support.annotation.Nullable;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;34;34;android.util.Log;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;35;35;java.io.ByteArrayOutputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;36;36;java.io.IOException;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;37;37;java.io.InputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;38;38;java.nio.ByteBuffer;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;39;39;java.nio.ByteOrder;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;40;40;java.util.Arrays;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifFrame.java;3;3;android.support.annotation.ColorInt;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifFrame.java;4;4;android.support.annotation.IntDef;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifFrame.java;5;5;java.lang.annotation.Retention;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifFrame.java;6;6;java.lang.annotation.RetentionPolicy;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeader.java;3;3;android.support.annotation.ColorInt;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeader.java;4;4;java.util.ArrayList;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeader.java;5;5;java.util.List;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;3;3;android.graphics.Bitmap;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;4;4;android.support.annotation.IntDef;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;5;5;android.support.annotation.NonNull;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;6;6;java.io.InputStream;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;7;7;java.lang.annotation.Retention;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;8;8;java.lang.annotation.RetentionPolicy;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;9;9;java.nio.ByteBuffer;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;3;3;com.bumptech.glide.gifdecoder.GifDecoder.STATUS_FORMAT_ERROR;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;4;4;com.bumptech.glide.gifdecoder.GifFrame.DISPOSAL_NONE;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;5;5;com.bumptech.glide.gifdecoder.GifFrame.DISPOSAL_UNSPECIFIED;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;7;7;android.util.Log;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;8;8;java.nio.BufferUnderflowException;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;9;9;java.nio.ByteBuffer;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;10;10;java.nio.ByteOrder;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;11;11;java.util.Arrays;
