typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/LZWEncoder.java;9;296;LZWEncoder;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/NeuQuant.java;25;506;NeuQuant;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java;13;579;AnimatedGifEncoder;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java;42;767;StandardGifDecoder;null;[GifDecoder];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifFrame.java;8;86;GifFrame;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeader.java;7;67;GifHeader;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;11;174;GifDecoder;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java;30;72;BitmapProvider;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifHeaderParser.java;13;520;GifHeaderParser;null;[];0;[];[];
;;glide;1;/home/les-02/NovoTGLambda/projects/glide/third_party/gif_decoder/src/test/java/com/bumptech/glide/gifdecoder/GifHeaderParserTest.java;19;264;GifHeaderParserTest;null;[];0;[];[RunWith];
