typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/TopKSelectorTest.java;107;113;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/TopKSelectorTest.java;107;113;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;60;69;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;285;299;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;313;327;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;333;347;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;353;367;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;374;392;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;411;431;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;60;69;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;285;299;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;313;327;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;333;347;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;353;367;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;374;392;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;411;431;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;36;41;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;45;50;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;55;65;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;58;62;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;105;110;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;114;119;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;123;128;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;36;41;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;45;50;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;55;65;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;58;62;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;105;110;false;false;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;114;119;false;false;false;false;
