typeProject;before;project;version;file;start;end;type;callLock;releaseLock;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/util/concurrent/CycleDetectingLockFactoryTest.java;232;249;Lock;true;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/util/concurrent/CycleDetectingLockFactoryTest.java;251;265;Lock;true;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/util/concurrent/CycleDetectingLockFactoryTest.java;267;282;Lock;true;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/util/concurrent/CycleDetectingLockFactoryTest.java;428;447;ReentrantLock;true;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/util/concurrent/CycleDetectingLockFactoryTest.java;449;464;ReentrantLock;true;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;395;422;ReentrantLock;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;445;469;ReentrantLock;false;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;471;493;ReentrantLock;true;false;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;495;552;ReentrantLock;false;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;554;618;ReentrantLock;false;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;620;641;ReentrantLock;true;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;643;665;ReentrantLock;false;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;691;715;ReentrantLock;false;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;717;742;ReentrantLock;false;true;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava/src/com/google/common/util/concurrent/Monitor.java;830;843;ReentrantLock;false;true;
