typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/xml/XmlEscapersTest.java;26;120;XmlEscapersTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/SynchronizedMapTest.java;31;216;SynchronizedMapTest;TestCase;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/SynchronizedMapTest.java;45;135;TestMap;ForwardingMap<K,V>;[Serializable];2;[[K, V], [K, V]];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/TopKSelectorTest.java;29;122;TopKSelectorTest;TestCase;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/CountTest.java;20;54;CountTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/LinkedHashMultimapTest.java;49;488;LinkedHashMultimapTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/MapMakerTest.java;30;90;MapMakerTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/MapMakerTest.java;42;54;DelayingIdentityLoader;null;[Function<T,T>];1;[[T]];[GwtIncompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/MapMakerTest.java;61;89;MakerTest;TestCase;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/RegularImmutableTableTest.java;24;194;RegularImmutableTableTest;AbstractImmutableTableTest;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/SortedListsTest.java;25;121;SortedListsTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/EnumBiMapTest.java;44;302;EnumBiMapTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/EnumBiMapTest.java;55;97;EnumBiMapGenerator;null;[TestBiMapGenerator<Country,Currency>];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/WellBehavedMapTest.java;25;105;WellBehavedMapTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;30;132;AbstractSequentialIteratorTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/AbstractSequentialIteratorTest.java;131;131;MyException;RuntimeException;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/ForwardingTableTest.java;24;57;ForwardingTableTest;TestCase;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/CollectionBenchmarkSampleData.java;26;154;CollectionBenchmarkSampleData;null;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/CollectionBenchmarkSampleData.java;111;130;Element;null;[Comparable<Element>];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/CollectionBenchmarkSampleData.java;132;153;SlowElement;Element;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/IteratorsTest.java;61;1670;IteratorsTest;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/IteratorsTest.java;621;671;PickyIterable;null;[Iterable<E>];1;[[E]];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/IteratorsTest.java;635;670;PickyIterator;null;[Iterator<E>];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/IteratorsTest.java;871;877;EmptyIteratorTester;IteratorTester<Integer>;[];0;[];[GwtIncompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/IteratorsTest.java;879;884;SingletonIteratorTester;IteratorTester<Integer>;[];0;[];[GwtIncompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/IteratorsTest.java;886;892;DoubletonIteratorTester;IteratorTester<Integer>;[];0;[];[GwtIncompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/SubMapMultimapAsMapImplementsMapTest.java;25;116;SubMapMultimapAsMapImplementsMapTest;AbstractMultimapAsMapImplementsMapTest;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/ForwardingSetMultimapTest.java;24;57;ForwardingSetMultimapTest;TestCase;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/ForwardingSortedSetMultimapTest.java;24;57;ForwardingSortedSetMultimapTest;TestCase;[];0;[];[];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/Collections2Test.java;44;500;Collections2Test;TestCase;[];0;[];[GwtCompatible];
;;guava;1.9.6;/home/les-02/TGLambda/projetos/guava/guava-tests/test/com/google/common/collect/TreeRangeSetTest.java;27;668;TreeRangeSetTest;AbstractRangeSetTest;[];0;[];[GwtIncompatible];
