typeProject;before;project;version;file;start;end;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpMethod.java;3;43;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/volley/src/com/android/volley/Request.java;459;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/explore/ExploreIOModel.java;485;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/explore/ExploreIOModel.java;553;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/provider/ScheduleUriEnum.java;3;79;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/provider/ScheduleDatabase.java;145;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/sync/userdata/UserAction.java;19;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/sync/userdata/AbstractUserDataSyncHelper.java;241;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/model/TagMetadata.java;154;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/navigation/NavigationModel.java;125;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/navigation/NavigationModel.java;202;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/navigation/NavigationModel.java;222;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/session/SessionDetailModel.java;811;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/session/SessionDetailModel.java;866;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/settings/ConfMessageCardUtils.java;53;78;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/videolibrary/VideoLibraryModel.java;556;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/videolibrary/VideoLibraryModel.java;630;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/myschedule/MyScheduleModel.java;337;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/myschedule/MyScheduleModel.java;361;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/feedback/SessionFeedbackModel.java;158;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/feedback/SessionFeedbackModel.java;184;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;29;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;33;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;37;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;41;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;45;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;49;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;55;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;59;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/OutputJsonKeys.java;63;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;29;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;33;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;37;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;41;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;48;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;53;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;65;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;69;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;76;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;92;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;96;-1;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/server/src/main/java/com/google/samples/apps/iosched/server/schedule/model/InputJsonKeys.java;100;-1;
