typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/RequestHandler.java;23;23;UTF8;String;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/DoHttpRequestTask.java;20;20;client;AsyncHttpClient;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/DoHttpRequestTask.java;21;21;callback;AsyncCallback;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/DoHttpRequestTask.java;22;22;savedException;Exception;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/DoHttpRequestTask.java;39;39;httpRequest;HttpRequest;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;24;24;logger;RequestLogger;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;44;44;url;URL;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;45;45;uc;HttpURLConnection;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;82;82;nRead;int;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;83;83;data;byte[];false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;84;84;buffer;ByteArrayOutputStream;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;95;95;res;HttpResponse;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicRequestHandler.java;101;101;status;int;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpRequestException.java;12;12;serialVersionUID;long;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpRequestException.java;14;14;httpResponse;HttpResponse;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpResponse.java;15;15;status;int;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpResponse.java;16;16;url;String;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpResponse.java;17;17;headers;Map<String,List<String>>;true;true;null;[String, List<String>];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpResponse.java;18;18;body;byte[];true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpMethod.java;17;17;doInput;boolean;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpMethod.java;18;18;doOutput;boolean;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;16;16;fib;int[];true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;25;25;maxRetries;int;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;31;31;execFactory;AsyncRequestExecutorFactory;true;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;74;74;req;HttpRequest;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;87;87;req;HttpRequest;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;100;100;req;HttpRequest;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;118;118;req;HttpPost;false;false;null;null;[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncHttpClient.java;136;136;req;HttpRequest;false;false;null;null;[];
