typeProject;before;project;version;file;start;end;switchString;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/volley/src/com/android/volley/toolbox/HurlStack.java;181;231;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/volley/src/com/android/volley/toolbox/HttpClientStack.java;96;143;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;55;64;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;86;92;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;94;159;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;105;123;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;144;157;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;163;229;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;178;195;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;214;227;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;232;324;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;236;269;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;244;258;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;271;322;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;275;289;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/ParserHelper.java;307;320;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;107;173;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;312;336;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;339;482;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/androidTest/java/com/google/samples/apps/iosched/testutils/OrientationHelper.java;41;50;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/androidTest/java/com/google/samples/apps/iosched/videolibrary/StubVideoLibraryModel.java;68;79;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/explore/ExploreIOFragment.java;177;181;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/explore/ExploreIOFragment.java;186;191;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/explore/ExploreIOFragment.java;394;407;false;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/android/src/main/java/com/google/samples/apps/iosched/explore/ExploreIOFragment.java;412;428;false;
