typeProject;before;project;version;file;start;end;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/volley/src/com/android/volley/toolbox/DiskBasedCache.java;386;388;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/volley/src/com/android/volley/toolbox/HttpHeaderParser.java;128;130;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1151;1154;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1262;1274;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1277;1521;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1311;1521;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1313;1521;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1315;1521;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1317;1521;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1335;1521;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1454;1460;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1490;1492;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1554;1601;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1572;1601;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1574;1601;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/svg-android/src/main/java/com/larvalabs/svgandroid/SVGParser.java;1596;1601;
