typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/RequestHandler.java;11;104;RequestHandler;null;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncRequestExecutorFactory.java;3;13;AsyncRequestExecutorFactory;null;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpGet.java;3;21;HttpGet;HttpRequest;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/AsyncRequestExecutor.java;3;13;AsyncRequestExecutor;null;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpPost.java;3;47;HttpPost;HttpRequest;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/DoHttpRequestTask.java;12;74;DoHttpRequestTask;AsyncTask<HttpRequest,Void,HttpResponse>;[AsyncRequestExecutor];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/AndroidHttpClient.java;12;90;AndroidHttpClient;AsyncHttpClient;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/android/AsyncTaskFactory.java;10;27;AsyncTaskFactory;null;[AsyncRequestExecutorFactory];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpDelete.java;3;21;HttpDelete;HttpRequest;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/HttpPut.java;3;42;HttpPut;HttpRequest;[];0;[];[];
;;iosched;1;/home/les-02/NovoTGLambda/projects/iosched/third_party/basic-http-client/src/com/turbomanage/httpclient/BasicHttpClient.java;5;53;BasicHttpClient;AbstractHttpClient;[];0;[];[];
