typeProject;before;project;version;file;start;end;import;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java;3;3;android.app.Application;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java;4;4;android.content.Context;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidDebuggerControl.java;18;18;android.os.Debug;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;18;18;android.content.Context;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;19;19;android.graphics.Bitmap;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;20;20;android.graphics.Canvas;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;21;21;android.graphics.Color;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;22;22;android.graphics.Paint;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;23;23;android.util.AttributeSet;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;24;24;android.view.View;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;26;26;android.graphics.Bitmap.Config.ARGB_8888;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;18;18;android.app.IntentService;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;19;19;android.content.Context;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;20;20;android.content.Intent;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;21;21;com.squareup.leakcanary.AbstractAnalysisResultService;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;22;22;com.squareup.leakcanary.AnalysisResult;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;23;23;com.squareup.leakcanary.CanaryLog;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;24;24;com.squareup.leakcanary.HeapAnalyzer;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;25;25;com.squareup.leakcanary.HeapDump;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;18;18;android.content.Context;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;19;19;android.text.Html;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;20;20;android.view.LayoutInflater;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;21;21;android.view.View;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;22;22;android.view.ViewGroup;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;23;23;android.widget.BaseAdapter;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;24;24;android.widget.TextView;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;25;25;com.squareup.leakcanary.Exclusion;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;26;26;com.squareup.leakcanary.LeakTrace;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;27;27;com.squareup.leakcanary.LeakTraceElement;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;28;28;com.squareup.leakcanary.R;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;29;29;java.util.ArrayList;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;30;30;java.util.Collections;
