typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/RefWatcher.java;11;12;RefWatcher;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/RefWatcher.java;14;15;watch;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/RefWatcher.java;17;18;watch;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java;11;13;install;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java;15;17;isInAnalyzerProcess;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java;19;21;LeakCanary;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidDebuggerControl.java;21;23;isDebuggerAttached;false;false;false;none;[Override];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;50;54;DisplayLeakConnectorView;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;56;102;onDraw;false;false;false;none;[SuppressWarnings, Override];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;104;113;setType;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;36;42;runAnalysis;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;44;46;HeapAnalyzerService;false;false;false;none;[];false;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;48;60;onHandleIntent;false;false;false;none;[Override];false;
