typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/RefWatcher.java;3;19;RefWatcher;null;[];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java;6;22;LeakCanary;null;[];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidDebuggerControl.java;20;24;AndroidDebuggerControl;null;[DebuggerControl];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java;28;114;DisplayLeakConnectorView;View;[];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java;27;61;HeapAnalyzerService;IntentService;[];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakAdapter.java;37;202;DisplayLeakAdapter;BaseAdapter;[];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanarySingleThreadFactory.java;20;34;LeakCanarySingleThreadFactory;null;[ThreadFactory];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/LeakCanaryInternals.java;41;161;LeakCanaryInternals;null;[];0;[];[];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/RequestStoragePermissionActivity.java;36;73;RequestStoragePermissionActivity;Activity;[];0;[];[TargetApi];
;;leakcanary;1;/home/les-02/TGLambda/projetos/leakcanary/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakActivity.java;69;513;DisplayLeakActivity;Activity;[];0;[];[SuppressWarnings];
