typeProject;before;project;version;file;start;end;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/superkoalio/SuperKoalio.java;56;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/box2d/OneSidedPlatform.java;43;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/ReflectionCorrectnessTest.java;233;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/bullet/OcclusionCullingTest.java;54;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/bullet/OcclusionBuffer.java;44;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/utils/PerspectiveCamController.java;32;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/AnnotationTest.java;41;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/JsonTest.java;292;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/extensions/FreeTypePackTest.java;44;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/extensions/FreeTypePackTest.java;55;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/extensions/FreeTypeAtlasTest.java;48;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/extensions/FreeTypeAtlasTest.java;59;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTile.java;25;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/Graphics.java;49;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/math/Plane.java;27;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/utils/JsonWriter.java;164;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/utils/JsonValue.java;1100;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Scaling.java;21;41;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/Files.java;26;2;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/Net.java;330;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/Input.java;558;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/Input.java;755;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/Application.java;98;-1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Touchable.java;19;-1;
