typeProject;before;project;version;file;start;end;import;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;19;19;java.awt.BorderLayout;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;20;20;java.awt.HeadlessException;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;21;21;java.awt.event.ActionEvent;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;22;22;java.awt.event.ActionListener;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;23;23;java.awt.event.KeyAdapter;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;24;24;java.awt.event.KeyEvent;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;25;25;java.awt.event.MouseAdapter;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;26;26;java.awt.event.MouseEvent;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;28;28;javax.swing.DefaultListSelectionModel;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;29;29;javax.swing.JButton;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;30;30;javax.swing.JFrame;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;31;31;javax.swing.JList;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;32;32;javax.swing.JPanel;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;33;33;javax.swing.JScrollPane;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;34;34;javax.swing.ListSelectionModel;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;35;35;javax.swing.UIManager;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;37;37;com.badlogic.gdx.LifecycleListener;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;38;38;com.badlogic.gdx.Preferences;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;39;39;com.badlogic.gdx.backends.jglfw.JglfwApplication;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;40;40;com.badlogic.gdx.backends.jglfw.JglfwApplicationConfiguration;
