typeProject;before;project;version;file;start;end;stmts;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/bullet/OcclusionBuffer.java;263;266;2;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/ScrollPaneScrollBarsTest.java;177;179;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/DecalTest.java;90;94;3;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/g3d/MultipleRenderTargetTest.java;220;223;2;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TmxMapLoader.java;138;140;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TmxMapLoader.java;141;143;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TideMapLoader.java;93;95;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/maps/tiled/AtlasTmxMapLoader.java;353;355;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/SkinLoader.java;71;73;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java;161;163;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/Node.java;285;287;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java;42;44;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/RegionInfluencer.java;218;220;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java;176;178;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/Model.java;165;167;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/Model.java;267;269;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/preloader/PreloaderBundleGenerator.java;247;249;1;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/extensions/gdx-jnigen/src/com/badlogic/gdx/jnigen/parsing/RobustJavaMethodParser.java;151;153;1;
