typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;48;144;JglfwTestStarter;JFrame;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwTestStarter.java;74;128;TestList;JPanel;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-jglfw/src/com/badlogic/gdx/jglfw/tests/JglfwDebugStarter.java;25;40;JglfwDebugStarter;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-iosrobovm/src/com/badlogic/gdx/tests/IOSRobovmTests.java;25;38;IOSRobovmTests;IOSApplication.Delegate;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-ios-intel/src/main/java/com/badlogicgames/gdx/tests/IOSTests.java;26;43;IOSTests;IOSApplication.Delegate;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-gwt/src/com/badlogic/gdx/tests/gwt/client/GwtTestStarter.java;27;37;GwtTestStarter;GwtApplication;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/LwjglTestStarter.java;47;155;LwjglTestStarter;JFrame;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/LwjglTestStarter.java;88;135;TestList;JPanel;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/LwjglCanvasTest.java;28;52;LwjglCanvasTest;JFrame;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/LwjglDebugStarter.java;27;46;LwjglDebugStarter;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/LwjglAppletTest.java;22;26;LwjglAppletTest;LwjglApplet;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/SwingLwjglTest.java;35;118;SwingLwjglTest;JFrame;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl/src/com/badlogic/gdx/tests/lwjgl/SwingLwjglTest.java;63;99;WindowCreator;ApplicationAdapter;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/MultiWindowTest.java;26;97;MultiWindowTest;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/MultiWindowTest.java;30;90;MainWindow;ApplicationAdapter;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/AwtTestLWJGL.java;20;81;AwtTestLWJGL;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/Lwjgl3DebugStarter.java;61;231;Lwjgl3DebugStarter;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/Lwjgl3TestStarter.java;39;138;Lwjgl3TestStarter;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/Lwjgl3TestStarter.java;48;137;TestChooser;ApplicationAdapter;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/MultiWindowCursorTest.java;9;76;MultiWindowCursorTest;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/MultiWindowCursorTest.java;11;62;WindowWithCursorListener;null;[ApplicationListener];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/MultiWindowCursorTest.java;64;69;MainWindow;MultiWindowTest.MainWindow;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/DragNDropTest.java;31;107;DragNDropTest;GdxTest;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-lwjgl3/src/com/badlogic/gdx/tests/lwjgl3/GlfwTest.java;18;75;GlfwTest;null;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-android/src/com/badlogic/gdx/tests/android/WindowedTest.java;35;112;WindowedTest;AndroidApplication;[ApplicationListener];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-android/src/com/badlogic/gdx/tests/android/AndroidTestStarter.java;33;68;AndroidTestStarter;ListActivity;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-android/src/com/badlogic/gdx/tests/android/MatrixTest.java;29;81;MatrixTest;GdxTest;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-android/src/com/badlogic/gdx/tests/android/DaydreamSettings.java;20;22;DaydreamSettings;Activity;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-android/src/com/badlogic/gdx/tests/android/LivewallpaperSettings.java;20;22;LivewallpaperSettings;Activity;[];0;[];[];
;;libgdx;1;/home/les-02/NovoTGLambda/projects/libgdx/tests/gdx-tests-android/src/com/badlogic/gdx/tests/android/Daydream.java;26;41;Daydream;AndroidDaydream;[];0;[];[TargetApi];
