typeProject;before;project;version;file;start;end;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/ShapeStroke.java;13;4;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/ShapeStroke.java;31;-1;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieAnimationView.java;45;-1;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/Mask.java;6;3;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/Layer.java;19;-1;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/Layer.java;29;-1;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/GradientType.java;3;1;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/MergePaths.java;10;19;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/ShapeTrimPath.java;9;13;
;;lottie-android;1;/home/les-02/NovoTGLambda/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/PolystarShape.java;9;8;
