typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyHandler.java;63;70;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyHandler.java;197;204;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyHandler.java;63;70;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyHandler.java;197;204;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;97;107;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;172;183;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;97;107;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;172;183;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;428;437;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;540;548;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;588;596;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;633;641;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;428;437;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;540;548;false;false;false;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;588;596;false;false;false;false;
