typeProject;before;project;version;file;start;end;import;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyConnectionEvent.java;19;19;io.netty.util.internal.StringUtil;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyConnectionEvent.java;21;21;java.net.SocketAddress;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;19;19;io.netty.buffer.ByteBuf;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;20;20;io.netty.buffer.Unpooled;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;21;21;io.netty.channel.ChannelHandlerContext;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;22;22;io.netty.channel.ChannelPipeline;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;23;23;io.netty.handler.codec.base64.Base64;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;24;24;io.netty.handler.codec.http.DefaultFullHttpRequest;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;25;25;io.netty.handler.codec.http.FullHttpRequest;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;26;26;io.netty.handler.codec.http.HttpClientCodec;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;27;27;io.netty.handler.codec.http.HttpHeaderNames;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;28;28;io.netty.handler.codec.http.HttpMethod;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;29;29;io.netty.handler.codec.http.HttpResponse;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;30;30;io.netty.handler.codec.http.HttpResponseStatus;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;31;31;io.netty.handler.codec.http.HttpVersion;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;32;32;io.netty.handler.codec.http.LastHttpContent;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;33;33;io.netty.util.AsciiString;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;34;34;io.netty.util.CharsetUtil;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;35;35;io.netty.util.NetUtil;
