typeProject;before;project;version;file;start;end;stmts;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;321;323;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSsl.java;189;191;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSsl.java;192;194;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/Java8SslParametersUtils.java;49;51;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslEngineTest.java;66;68;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/JdkOpenSslEngineInteroptTest.java;37;39;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/ConscryptJdkSslEngineInteropTest.java;37;39;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/JdkSslEngineTest.java;129;131;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslJdkSslEngineInteroptTest.java;39;41;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SslErrorTest.java;97;99;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/JdkConscryptSslEngineInteropTest.java;37;39;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-smtp/src/main/java/io/netty/handler/codec/smtp/SmtpRequests.java;97;99;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-smtp/src/main/java/io/netty/handler/codec/smtp/SmtpRequests.java;114;116;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdyHttpDecoder.java;315;317;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdyHttpDecoder.java;386;388;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdyHttpDecoder.java;418;420;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpHeaders.java;1402;1404;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpHeaders.java;1488;1490;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/cors/CorsConfigBuilder.java;177;179;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/cors/CorsConfigBuilder.java;267;269;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/CombinedHttpHeaders.java;115;117;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/DefaultHttpHeaders.java;262;264;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/HttpPostMultipartRequestDecoder.java;1826;1828;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/test/java/io/netty/handler/codec/spdy/SpdySessionHandlerTest.java;360;362;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/CombinedHttpHeadersTest.java;250;252;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/CombinedHttpHeadersTest.java;256;258;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/cookie/ClientCookieDecoderTest.java;126;128;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/cookie/ServerCookieEncoderTest.java;90;93;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/cookie/ServerCookieEncoderTest.java;117;119;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java;371;373;1;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec/src/main/java/io/netty/handler/codec/DefaultHeaders.java;413;415;1;
