typeProject;before;project;version;file;start;end;switchString;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/HttpProxyServer.java;59;73;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/Socks5ProxyServer.java;66;80;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/Socks4ProxyServer.java;53;67;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/timeout/IdleStateHandler.java;314;318;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/timeout/IdleStateHandler.java;381;390;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java;240;247;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java;268;318;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java;273;281;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java;283;291;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java;295;303;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java;305;313;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslUtils.java;105;116;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslUtils.java;192;203;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java;707;728;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java;791;815;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java;874;880;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java;1167;1200;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java;1202;1253;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SniHandler.java;128;266;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java;343;349;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java;1305;1365;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java;1495;1502;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java;1555;1567;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java;1868;1899;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslClientContext.java;284;297;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java;321;334;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java;372;379;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java;555;583;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java;561;580;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java;564;574;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java;410;433;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java;765;787;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SniHandlerTest.java;84;94;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SniHandlerTest.java;318;435;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java;208;218;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java;233;243;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java;248;258;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java;263;274;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java;324;335;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java;340;351;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler/src/test/java/io/netty/handler/flow/FlowControlHandlerTest.java;266;282;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/codec-xml/src/main/java/io/netty/handler/codec/xml/XmlDecoder.java;57;112;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtProvider.java;208;238;false;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtProvider.java;210;217;false;
