typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyConnectionEvent.java;23;105;ProxyConnectionEvent;null;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/HttpProxyHandler.java;40;152;HttpProxyHandler;ProxyHandler;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyHandler.java;38;452;ProxyHandler;ChannelDuplexHandler;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyHandler.java;443;451;LazyChannelPromise;DefaultPromise<Channel>;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/Socks5ProxyHandler.java;45;206;Socks5ProxyHandler;ProxyHandler;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/Socks4ProxyHandler.java;31;116;Socks4ProxyHandler;ProxyHandler;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/main/java/io/netty/handler/proxy/ProxyConnectException.java;21;38;ProxyConnectException;ConnectException;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/HttpProxyServer.java;45;168;HttpProxyServer;ProxyServer;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/HttpProxyServer.java;108;137;HttpIntermediaryHandler;IntermediaryHandler;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/HttpProxyServer.java;139;167;HttpTerminalHandler;TerminalHandler;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/UnresponsiveHandler.java;23;34;UnresponsiveHandler;SimpleChannelInboundHandler<Object>;[];0;[];[Sharable];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;50;306;ProxyServer;null;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;153;264;IntermediaryHandler;SimpleChannelInboundHandler<Object>;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;235;263;BackendHandler;ChannelInboundHandlerAdapter;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyServer.java;266;305;TerminalHandler;SimpleChannelInboundHandler<Object>;[];0;[];[];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;72;658;ProxyHandlerTest;null;[];0;[];[RunWith];
;;netty;1;/home/les-02/NovoTGLambda/projects/netty/handler-proxy/src/test/java/io/netty/handler/proxy/ProxyHandlerTest.java;363;410;SuccessTestHandler;SimpleChannelInboundHandler<Object>;[];0;[];[];
