typeProject;before;project;version;file;start;end;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/tls/CertificatePinnerChainValidationTest.java;215;217;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/tls/CertificatePinnerChainValidationTest.java;301;303;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2328;2333;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2340;2353;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2342;2353;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2346;2349;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/WebPlatformUrlTest.java;98;103;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/InterceptorTest.java;433;439;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/InterceptorTest.java;460;472;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-android-support/src/main/java/okhttp3/internal/huc/JavaApiConverter.java;188;193;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/internal/huc/OkHttpURLConnection.java;335;340;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;72;72;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;73;73;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;100;100;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;101;101;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/internal/http/HttpHeaders.java;188;190;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/HttpUrl.java;505;511;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/HttpUrl.java;507;511;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/CertificatePinner.java;177;185;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/CertificatePinner.java;180;185;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/tls/CertificatePinnerChainValidationTest.java;215;217;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/internal/tls/CertificatePinnerChainValidationTest.java;301;303;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2328;2333;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2340;2353;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2342;2353;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/URLConnectionTest.java;2346;2349;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/WebPlatformUrlTest.java;98;103;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/InterceptorTest.java;433;439;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/InterceptorTest.java;460;472;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-android-support/src/main/java/okhttp3/internal/huc/JavaApiConverter.java;188;193;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/internal/huc/OkHttpURLConnection.java;335;340;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;72;72;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;73;73;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;100;100;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-urlconnection/src/main/java/okhttp3/OkUrlFactory.java;101;101;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/internal/http/HttpHeaders.java;188;190;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/HttpUrl.java;505;511;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/HttpUrl.java;507;511;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/CertificatePinner.java;177;185;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp/src/main/java/okhttp3/CertificatePinner.java;180;185;
