typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/internal/io/InMemoryFileSystem.java;36;138;InMemoryFileSystem;null;[FileSystem, TestRule];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/RecordingHostnameVerifier.java;23;30;RecordingHostnameVerifier;null;[HostnameVerifier];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/FakeProxySelector.java;27;43;FakeProxySelector;ProxySelector;[];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/testing/InstallUncaughtExceptionHandlerListener.java;24;64;InstallUncaughtExceptionHandlerListener;RunListener;[];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/FakeDns.java;28;79;FakeDns;null;[Dns];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/FakeSSLSession.java;26;120;FakeSSLSession;null;[SSLSession];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-testing-support/src/main/java/okhttp3/RecordingCookieJar.java;27;56;RecordingCookieJar;null;[CookieJar];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/main/java/okhttp3/AutobahnTester.java;26;152;AutobahnTester;null;[];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/WebPlatformUrlTestData.java;26;157;WebPlatformUrlTestData;null;[];0;[];[];
;;okhttp;1;/home/les-02/NovoTGLambda/projetos/okhttp/okhttp-tests/src/test/java/okhttp3/DelegatingSocketFactory.java;23;65;DelegatingSocketFactory;SocketFactory;[];0;[];[];
