typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Utils.java;332;336;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Utils.java;332;336;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Stats.java;153;157;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Stats.java;153;157;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Dispatcher.java;130;134;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Dispatcher.java;513;517;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Dispatcher.java;130;134;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Dispatcher.java;513;517;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Cache.java;47;69;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Cache.java;47;69;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Picasso.java;95;99;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Picasso.java;114;146;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Picasso.java;644;648;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Picasso.java;95;99;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Picasso.java;114;146;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Picasso.java;644;648;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;64;68;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;72;80;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;447;452;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;466;470;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;475;481;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;487;493;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;64;68;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;72;80;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;447;452;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;466;470;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;475;481;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/BitmapHunter.java;487;493;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/TestUtils.java;50;54;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/TestUtils.java;50;54;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/TargetActionTest.java;90;102;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/TargetActionTest.java;90;102;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1005;1013;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1025;1033;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1046;1055;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1069;1078;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1005;1013;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1025;1033;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1046;1055;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/BitmapHunterTest.java;1069;1078;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;108;118;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;326;336;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;344;354;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;797;805;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;811;819;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;108;118;false;false;false;false;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/test/java/com/squareup/picasso/RequestCreatorTest.java;326;336;false;false;false;false;
