typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;54;54;loadedFrom;Picasso.LoadedFrom;true;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;55;55;bitmap;Bitmap;true;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;56;56;source;Source;true;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;57;57;exifOrientation;int;true;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;138;138;justBounds;boolean;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;139;139;hasConfig;boolean;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;140;140;options;BitmapFactory.Options;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;165;165;sampleSize;int;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;167;167;heightRatio;int;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;168;168;widthRatio;int;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;26;26;callback;Callback;true;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;42;42;target;ImageView;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;47;47;context;Context;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;48;48;indicatorsEnabled;boolean;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;57;57;target;ImageView;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;61;61;placeholder;Drawable;false;false;null;null;[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/NetworkPolicy.java;47;47;index;int;true;false;null;null;[];
