typeProject;before;project;version;file;start;end;import;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;18;18;android.graphics.Bitmap;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;19;19;android.graphics.BitmapFactory;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;20;20;android.net.NetworkInfo;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;21;21;android.support.annotation.NonNull;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;22;22;android.support.annotation.Nullable;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;23;23;java.io.IOException;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;24;24;okio.Source;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;26;26;com.squareup.picasso.Utils.checkNotNull;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;18;18;android.content.Context;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;19;19;android.graphics.Bitmap;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;20;20;android.graphics.drawable.AnimationDrawable;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;21;21;android.graphics.drawable.Drawable;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;22;22;android.widget.ImageView;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/TargetAction.java;18;18;android.graphics.Bitmap;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/TargetAction.java;19;19;android.graphics.drawable.Drawable;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;18;18;android.content.Context;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;19;19;android.support.annotation.NonNull;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;20;20;android.support.annotation.VisibleForTesting;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;21;21;java.io.File;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;22;22;java.io.IOException;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;23;23;okhttp3.Cache;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;24;24;okhttp3.Call;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;25;25;okhttp3.OkHttpClient;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;26;26;okhttp3.Request;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;27;27;okhttp3.Response;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/DeferredRequestCreator.java;18;18;android.support.annotation.VisibleForTesting;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/DeferredRequestCreator.java;19;19;android.view.View;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/DeferredRequestCreator.java;20;20;android.view.View.OnAttachStateChangeListener;
