typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;28;184;RequestHandler;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestHandler.java;46;106;Result;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ImageViewAction.java;24;82;ImageViewAction;Action<ImageView>;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/TargetAction.java;21;53;TargetAction;Action<Target>;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Callback.java;18;31;Callback;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Callback.java;23;30;EmptyCallback;null;[Callback];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/OkHttp3Downloader.java;29;102;OkHttp3Downloader;null;[Downloader];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/DeferredRequestCreator.java;26;100;DeferredRequestCreator;null;[OnPreDrawListener, OnAttachStateChangeListener];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/MarkableInputStream.java;22;184;MarkableInputStream;InputStream;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/StatsSnapshot.java;24;139;StatsSnapshot;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Utils.java;50;357;Utils;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Utils.java;340;345;PicassoThreadFactory;null;[ThreadFactory];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Utils.java;347;356;PicassoThread;Thread;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/PicassoExecutorService.java;27;110;PicassoExecutorService;ThreadPoolExecutor;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/PicassoExecutorService.java;91;109;PicassoFutureTask;FutureTask<BitmapHunter>;[Comparable<PicassoFutureTask>];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ResourceRequestHandler.java;27;56;ResourceRequestHandler;RequestHandler;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Action.java;25;111;Action;null;[];1;[[T]];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Action.java;26;33;RequestWeakReference;WeakReference<M>;[];1;[[M]];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/AssetRequestHandler.java;28;62;AssetRequestHandler;RequestHandler;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Request.java;32;511;Request;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Request.java;205;510;Builder;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/GetAction.java;20;31;GetAction;Action<Void>;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/LruCache.java;28;167;LruCache;null;[Cache];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/FetchAction.java;20;52;FetchAction;Action<Object>;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/ContactsPhotoRequestHandler.java;31;95;ContactsPhotoRequestHandler;RequestHandler;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/RequestCreator.java;53;786;RequestCreator;null;[];0;[];[SuppressWarnings];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/Transformation.java;20;34;Transformation;null;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/NetworkRequestHandler.java;27;122;NetworkRequestHandler;RequestHandler;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/NetworkRequestHandler.java;106;110;ContentLengthException;IOException;[];0;[];[];
;;picasso;1;/home/les-02/NovoTGLambda/projects/picasso/picasso/src/main/java/com/squareup/picasso/NetworkRequestHandler.java;112;121;ResponseException;IOException;[];0;[];[];
