typeProject;before;project;version;file;start;end;switchString;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java;60;80;false;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java;87;108;false;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-converters/gson/src/test/java/retrofit2/converter/gson/GsonConverterFactoryTest.java;68;72;true;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-converters/protobuf/src/test/java/retrofit2/converter/protobuf/PhoneProtos.java;70;87;false;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-converters/jackson/src/test/java/retrofit2/converter/jackson/JacksonConverterFactoryTest.java;93;97;true;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java;115;122;false;
;;retrofit;1;/home/les-02/TGLambda/projetos/retrofit/retrofit-converters/moshi/src/test/java/retrofit2/converter/moshi/MoshiConverterFactoryTest.java;87;91;true;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java;60;80;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java;87;108;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/gson/src/test/java/retrofit2/converter/gson/GsonConverterFactoryTest.java;68;72;true;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/protobuf/src/test/java/retrofit2/converter/protobuf/PhoneProtos.java;70;87;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/jackson/src/test/java/retrofit2/converter/jackson/JacksonConverterFactoryTest.java;93;97;true;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java;115;122;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/moshi/src/test/java/retrofit2/converter/moshi/MoshiConverterFactoryTest.java;87;91;true;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java;60;80;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/CallArbiter.java;87;108;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/gson/src/test/java/retrofit2/converter/gson/GsonConverterFactoryTest.java;68;72;true;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/protobuf/src/test/java/retrofit2/converter/protobuf/PhoneProtos.java;70;87;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/jackson/src/test/java/retrofit2/converter/jackson/JacksonConverterFactoryTest.java;93;97;true;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java;115;122;false;
;;retrofit;1;/home/les-02/NovoTGLambda/projetos/retrofit/retrofit-converters/moshi/src/test/java/retrofit2/converter/moshi/MoshiConverterFactoryTest.java;87;91;true;
