typeProject;before;project;version;file;start;end;parentMethod;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/UnresolvedDependenciesAnalyzer.java;45;45;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/UnresolvedDependenciesAnalyzer.java;56;56;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/SpringBootPlugin.java;113;113;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/SpringBootPlugin.java;119;123;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/SpringBootPlugin.java;120;123;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/SpringBootPlugin.java;125;125;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/DependencyManagementPluginAction.java;42;42;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/JavaPluginAction.java;64;70;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/JavaPluginAction.java;92;97;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/JavaPluginAction.java;104;108;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/JavaPluginAction.java;104;108;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/MavenPluginAction.java;46;50;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/MavenPluginAction.java;48;48;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/MavenPluginAction.java;55;55;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/ApplicationPluginAction.java;60;68;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/ApplicationPluginAction.java;64;65;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/ApplicationPluginAction.java;70;70;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/ApplicationPluginAction.java;72;72;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootArchiveSupport.java;141;146;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootArchiveSupport.java;144;144;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootZipCopyAction.java;103;103;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java;58;60;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java;59;60;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootWar.java;53;55;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootWar.java;54;55;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/run/BootRun.java;43;43;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/dsl/SpringBootExtension.java;78;92;;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/dsl/SpringBootExtension.java;81;86;;
