typeProject;before;project;version;file;start;end;stmts;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-integration-tests-embedded-servlet-container/src/test/java/org/springframework/boot/context/embedded/BootRunApplicationLauncher.java;61;63;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-integration-tests-embedded-servlet-container/src/test/java/org/springframework/boot/context/embedded/IdeApplicationLauncher.java;72;74;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/RemoteApplicationLauncher.java;63;65;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/JarFileRemoteApplicationLauncher.java;57;59;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/LocalApplicationLauncher.java;51;53;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-devtools-tests/src/test/java/org/springframework/boot/devtools/tests/ExplodedRemoteApplicationLauncher.java;43;45;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-integration-tests/spring-boot-launch-script-tests/src/test/java/org/springframework/boot/launchscript/SysVinitLaunchScriptIT.java;78;80;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-devtools/src/test/java/org/springframework/boot/devtools/test/MockClientHttpRequestFactory.java;57;59;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-devtools/src/test/java/org/springframework/boot/devtools/test/MockClientHttpRequestFactory.java;69;71;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-test-support/src/main/java/org/springframework/boot/junit/runner/classpath/ModifiedClassPathRunner.java;121;123;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-test-support/src/main/java/org/springframework/boot/junit/runner/classpath/ModifiedClassPathRunner.java;181;183;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-test-support/src/main/java/org/springframework/boot/junit/runner/classpath/ModifiedClassPathRunner.java;189;191;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-test-support/src/main/java/org/springframework/boot/junit/runner/classpath/ModifiedClassPathRunner.java;263;266;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/AbstractRunMojo.java;335;337;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/AbstractRunMojo.java;412;414;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/fieldvalues/javac/ExpressionTree.java;82;84;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/metadata/ConfigurationMetadata.java;84;86;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/MetadataCollector.java;96;98;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-autoconfigure-processor/src/main/java/org/springframework/boot/autoconfigureprocessor/AutoConfigureAnnotationProcessor.java;162;164;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-loader/src/main/java/org/springframework/boot/loader/Launcher.java;61;63;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-loader/src/test/java/org/springframework/boot/loader/AbstractExecutableArchiveLauncherTests.java;93;95;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/orm/jpa/EntityManagerFactoryBuilder.java;139;141;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/json/BasicJsonParser.java;64;66;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java;517;519;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/ExitCodeGenerators.java;49;51;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/ExitCodeGenerators.java;67;69;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/bind/RelaxedDataBinder.java;120;122;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/bind/RelaxedDataBinder.java;165;167;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/bind/RelaxedDataBinder.java;197;199;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/bind/PropertiesConfigurationFactory.java;270;272;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/bind/PropertiesConfigurationFactory.java;308;310;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/web/server/MimeMappings.java;247;249;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/web/servlet/ServletComponentScanRegistrar.java;83;85;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/web/servlet/AbstractFilterRegistrationBean.java;246;248;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/web/embedded/undertow/UndertowWebServer.java;131;133;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/web/embedded/undertow/UndertowServletWebServer.java;247;249;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/web/embedded/undertow/UndertowServletWebServer.java;386;388;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java;220;222;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/logging/logback/LogbackLoggingSystem.java;218;220;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigFileApplicationListener.java;500;502;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigFileApplicationListener.java;601;603;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigFileApplicationListener.java;767;769;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/context/config/DelegatingApplicationContextInitializer.java;64;66;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/context/config/DelegatingApplicationContextInitializer.java;88;90;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/context/ConfigurationWarningsApplicationContextInitializer.java;193;195;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/test/java/org/springframework/boot/bind/PropertySourcesPropertyValuesTests.java;96;98;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/test/java/org/springframework/boot/web/server/MimeMappingsTests.java;71;73;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigFileApplicationListenerTests.java;524;527;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/test/java/org/springframework/boot/system/EmbeddedServerPortFileWriterTests.java;134;136;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/domain/EntityScanPackages.java;160;162;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/domain/EntityScanner.java;77;81;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnResourceCondition.java;75;77;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/AbstractNestedCondition.java;83;85;1;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/AbstractNestedCondition.java;186;188;1;
