typeProject;before;project;version;file;start;end;switchString;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-samples/spring-boot-sample-websocket-undertow/src/main/java/samples/websocket/undertow/snake/Location.java;34;47;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-samples/spring-boot-sample-websocket-tomcat/src/main/java/samples/websocket/tomcat/snake/Location.java;34;47;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-samples/spring-boot-sample-websocket-jetty/src/main/java/samples/websocket/jetty/snake/Location.java;34;47;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java;627;636;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/logging/DeferredLog.java;167;186;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/liquibase/CommonsLoggingLiquibaseLogger.java;124;133;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/ConditionalOnJava.java;112;117;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/orm/jpa/DataJpaTypeExcludeFilter.java;48;53;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/json/JsonExcludeFilter.java;61;66;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/filter/FilterAnnotations.java;72;83;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/filter/FilterAnnotations.java;89;94;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/web/reactive/WebFluxTypeExcludeFilter.java;73;78;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/web/client/RestClientExcludeFilter.java;73;78;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/web/servlet/WebMvcTypeExcludeFilter.java;84;89;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/jdbc/JdbcTypeExcludeFilter.java;48;53;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/data/neo4j/DataNeo4jTypeExcludeFilter.java;48;55;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/main/java/org/springframework/boot/test/autoconfigure/data/mongo/DataMongoTypeExcludeFilter.java;48;55;false;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/health/ElasticsearchHealthIndicator.java;54;63;false;
