typeProject;before;project;version;file;start;end;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/RepackageMojo.java;191;194;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/fieldvalues/javac/JavaCompilerFieldValuesParser.java;147;149;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/fieldvalues/javac/JavaCompilerFieldValuesParser.java;150;152;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/fieldvalues/javac/Tree.java;66;77;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/fieldvalues/javac/Tree.java;78;80;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Repackager.java;432;434;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-docs/src/main/java/org/springframework/boot/web/client/RestTemplateProxyCustomizationExample.java;54;56;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/env/RandomValuePropertySource.java;84;86;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/env/RandomValuePropertySource.java;87;89;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/main/java/org/springframework/boot/env/RandomValuePropertySource.java;98;100;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot/src/test/java/org/springframework/boot/context/config/ConfigFileApplicationListenerTests.java;106;114;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/security/SpringBootWebSecurityConfiguration.java;288;290;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/security/oauth2/client/OAuth2SsoCustomConfiguration.java;96;103;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-actuator-docs/src/restdoc/java/org/springframework/boot/actuate/hypermedia/LimitedEnvironmentEndpoint.java;75;77;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/test/java/org/springframework/boot/test/autoconfigure/web/servlet/mockmvc/WebMvcTestPrintDefaultRunner.java;45;53;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-test-autoconfigure/src/test/java/org/springframework/boot/test/autoconfigure/web/servlet/mockmvc/WebMvcTestPrintDefaultRunner.java;48;53;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/metrics/repository/redis/RedisMultiMetricRepositoryTests.java;138;140;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-cli/src/main/java/org/springframework/boot/cli/command/init/InitializrService.java;132;134;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-cli/src/main/java/org/springframework/boot/cli/command/archive/ArchiveCommand.java;333;336;
;;spring-boot;1;/home/les-02/NovoTGLambda/projects/spring-boot/spring-boot-cli/src/main/java/org/springframework/boot/cli/util/ResourceUtils.java;106;111;
