typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/interceptor/AsyncExecutionInterceptor.java;111;128;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/interceptor/AsyncExecutionInterceptor.java;111;128;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/interceptor/AsyncExecutionAspectSupport.java;254;264;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/interceptor/AsyncExecutionAspectSupport.java;254;264;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/interceptor/ExposeInvocationInterceptor.java;53;58;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/interceptor/ExposeInvocationInterceptor.java;53;58;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/DeclareParentsAdvisor.java;79;84;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/DeclareParentsAdvisor.java;79;84;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/ReflectiveAspectJAdvisorFactory.java;78;85;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/ReflectiveAspectJAdvisorFactory.java;87;92;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/ReflectiveAspectJAdvisorFactory.java;159;167;false;false;false;false;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/ReflectiveAspectJAdvisorFactory.java;313;319;false;false;false;false;
