typeProject;before;project;version;file;start;end;stmts;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/BeanNameAutoProxyCreator.java;66;68;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/DefaultAdvisorChainFactory.java;71;73;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/AspectJAdviceParameterNameDiscoverer.java;145;147;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/autoproxy/AspectJAwareAdvisorAutoProxyCreator.java;72;75;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/autoproxy/AspectJAwareAdvisorAutoProxyCreator.java;80;82;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/AnnotationAwareAspectJAutoProxyCreator.java;64;66;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/config/CacheAdviceParser.java;90;92;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/interceptor/CacheAspectSupport.java;555;557;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/interceptor/CacheAspectSupport.java;737;739;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/annotation/SpringCacheAnnotationParser.java;67;69;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/annotation/SpringCacheAnnotationParser.java;74;76;1;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/annotation/SpringCacheAnnotationParser.java;81;83;1;
