typeProject;before;project;version;file;name;type;start;end;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/main/java/org/springframework/context/index/CandidateComponentsIndexLoader.java;stream;-;105;105;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/test/java/org/springframework/cache/annotation/AnnotationCacheOperationSourceTests.java;stream;-;308;308;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/configuration/ConfigurationClassProcessingTests.java;stream;-;121;121;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/resource/ResourceHttpRequestHandler.java;stream;-;540;541;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ReactiveTypeHandler.java;stream;-;121;121;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ReactiveTypeHandler.java;stream;-;125;125;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ReactiveTypeHandler.java;stream;-;131;131;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/config/annotation/WebMvcConfigurationSupportTests.java;stream;-;180;180;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/config/MvcNamespaceTests.java;stream;-;362;362;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/BaseViewTests.java;stream;-;284;284;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/InternalResourceViewTests.java;stream;-;87;87;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/InternalResourceViewTests.java;stream;-;104;104;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/InternalResourceViewTests.java;stream;-;119;119;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/InternalResourceViewTests.java;stream;-;135;135;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-test/src/main/java/org/springframework/test/web/reactive/server/DefaultWebTestClient.java;stream;-;549;549;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-test/src/main/java/org/springframework/test/web/reactive/server/DefaultWebTestClient.java;stream;-;557;557;
